title,label,text,word_count
Study of coupling loss on bi-columnar BSCCO/Ag tapes by a.c. susceptibility measurements,0,"Coupling losses were studied in composite tapes containing superconducting material in the form of two separate stacks of densely packed filaments embedded in a metallic matrix of Ag or Ag alloy. This kind of sample geometry is quite favorable for studying the coupling currents and in particular the role of superconducting bridges between filaments. By using a.c. susceptibility technique, the electromagnetic losses as function of a.c. magnetic field amplitude and frequency were measured at the temperature T = 77 K for two tapes with different matrix composition. The length of samples was varied by subsequent cutting in order to investigate its influence on the dynamics of magnetic flux penetration. The geometrical factor $\chi_0$ which takes into account the demagnetizing effects was established from a.c. susceptibility data at low amplitudes. Losses vs frequency dependencies have been found to agree nicely with the theoretical model developed for round multifilamentary wires.

Applying this model, the effective resistivity of the matrix was determined for each tape, by using only measured quantities. For the tape with pure silver matrix its value was found to be larger than what predicted by the theory for given metal resistivity and filamentary architecture. On the contrary, in the sample with a Ag/Mg alloy matrix, an effective resistivity much lower than expected was determined. We explain these discrepancies by taking into account the properties of the electrical contact of the interface between the superconducting filaments and the normal matrix. In the case of soft matrix of pure Ag, this is of poor quality, while the properties of alloy matrix seem to provoke an extensive creation of intergrowths which can be actually observed in this kind of samples.",280
Study of coupling loss on bi-columnar BSCCO/Ag tapes by a.c. susceptibility measurements,1,"In this study, we investigate the coupling loss on bi-columnar BSCCO/Ag tapes using a.c. susceptibility measurements. The bi-columnar structure of BSCCO tapes is known to offer several advantages over traditional tape configurations, including increased tolerance to magnetic field disturbances. However, the effects of the Bi-2212/Ag interface on the coupling between the superconducting filaments of the BSCCO tape is not well understood. Our experiments show that the coupling loss is dominated by the Bi-2212/Ag interface and varies significantly with the orientation and magnitude of the applied a.c. magnetic field. Specifically, coupling loss is found to be lower for in-plane magnetic fields and higher for out-of-plane magnetic fields. We also observe that the annealing of the tapes significantly affects the coupling loss, as annealed tapes exhibit lower loss values than unannealed tapes. Furthermore, we find that the coupling loss is sensitive to the orientation of the Ag matrix, as demonstrated by measurements on tapes with both transverse and longitudinal matrix orientation. Finally, we use numerical simulations to confirm the validity of our experimental results. Overall, this study provides important insights into the coupling loss mechanisms in bi-columnar BSCCO/Ag tapes, which are highly relevant for the development of practical applications of high-temperature superconductors.",215
Weighted Solyanik estimates for the strong maximal function,0,"Let $\mathsf M_{\mathsf S}$ denote the strong maximal operator on $\mathbb R^n$ and let $w$ be a non-negative, locally integrable function. For $\alpha\in(0,1)$ we define the weighted sharp Tauberian constant $\mathsf C_{\mathsf S}$ associated with $\mathsf M_{\mathsf S}$ by $$ \mathsf C_{\mathsf S} (\alpha):= \sup_{\substack {E\subset \mathbb R^n \\ 0<w(E)<+\infty}}\frac{1}{w(E)}w(\{x\in\mathbb R^n:\, \mathsf M_{\mathsf S}(\mathbf{1}_E)(x)>\alpha\}). $$ We show that $\lim_{\alpha\to 1^-} \mathsf C_{\mathsf S} (\alpha)=1$ if and only if $w\in A_\infty ^*$, that is if and only if $w$ is a strong Muckenhoupt weight. This is quantified by the estimate $\mathsf C_{\mathsf S}(\alpha)-1\lesssim_{n} (1-\alpha)^{(cn [w]_{A_\infty ^*})^{-1}}$ as $\alpha\to 1^-$, where $c>0$ is a numerical constant; this estimate is sharp in the sense that the exponent $1/(cn[w]_{A_\infty ^*})$ can not be improved in terms of $[w]_{A_\infty ^*}$. As corollaries, we obtain a sharp reverse H\""older inequality for strong Muckenhoupt weights in $\mathbb R^n$ as well as a quantitative imbedding of $A_\infty^*$ into $A_{p}^*$. We also consider the strong maximal operator on $\mathbb R^n$ associated with the weight $w$ and denoted by $\mathsf M_{\mathsf S} ^w$. In this case the corresponding sharp Tauberian constant $\mathsf C_{\mathsf S} ^w$ is defined by $$ \mathsf C_{\mathsf S} ^w \alpha) := \sup_{\substack {E\subset \mathbb R^n \\ 0<w(E)<+\infty}}\frac{1}{w(E)}w(\{x\in\mathbb R^n:\, \mathsf M_{\mathsf S} ^w (\mathbf{1}_E)(x)>\alpha\}).$$ We show that there exists some constant $c_{w,n}>0$ depending only on $w$ and the dimension $n$ such that $\mathsf C_{\mathsf S} ^w (\alpha)-1 \lesssim_{w,n} (1-\alpha)^{c_{w,n}}$ as $\alpha\to 1^-$ whenever $w\in A_\infty ^*$ is a strong Muckenhoupt weight.",332
Weighted Solyanik estimates for the strong maximal function,1,"In this paper, we investigate Weighted Solyanik Estimates for the Strong Maximal Function. The purpose of this study is to determine the optimal range of weights for which the Solyanik estimates hold true for the strong maximal function in both dyadic and non-dyadic contexts. Our work is motivated by recent developments in the area of harmonic analysis and Fourier analysis, which have demonstrated the importance of the strong maximal function in many areas of mathematics. We begin our investigation by defining the strong maximal function and introducing the weighted Solyanik estimates. We then analyze the properties of the strong maximal function and its relationship to weighted estimates. Our findings demonstrate that the range of suitable weights for the Solyanik estimates is significantly larger in the dyadic context than in the non-dyadic context. Moreover, we establish new estimates for the strong maximal function in the dyadic context, which improve upon existing results. Our study contributes to the development of more precise and accurate techniques for analyzing the strong maximal function, and may have potential applications in other areas of mathematics as well. In conclusion, our investigation of Weighted Solyanik Estimates for the Strong Maximal Function provides new insights into this important topic in harmonic analysis, and we expect our results to be of interest to researchers in this field and related areas of study.",225
SOFIA-EXES Observations of Betelgeuse during the Great Dimming of 2019/2020,0,"In 2019 October Betelgeuse began a decline in V-band brightness that went beyond the minimum expected from its quasi-periodic ~420 day cycle, becoming the faintest in recorded photometric history. Observations obtained in 2019 December with VLT/SPHERE (Montarges 2020) have shown that the southern half of the star has become markedly fainter than in 2019 January indicating that a major change has occurred in, or near, the photosphere.

We present SOFIA-EXES high spectral-resolution observations of [Fe II] 25.99 mic and [S I] 25.25 mic emission lines from Betelgeuse obtained during the unprecedented 2020 February V-band brightness minimum to investigate potential changes in the circumstellar flow. These spectra are compared to observations obtained in 2015 and 2017 when the V magnitude was typical of brighter phases.

We find only very small changes in the gas velocities reflected by either of the line profiles, no significant changes in the flux to continuum ratios, and hence no significant changes in the [Fe II]/[S I] flux ratios. There is evidence that absorption features have appeared in the 2020 continuum.

The Alfven wave-crossing time from the upper-photosphere is sufficiently long that one would not expect a change in the large scale magnetic field to reach the circumstellar [Fe II] and [S I] line forming regions, 3 < R(R*) < 20.

However, the light-crossing time is of order a few hours and a reduction in luminosity may reduce the dust-gas heating rate and [O I] 63.19 mic emission which has contributions from R > 20R*, where significant circumstellar oxygen-rich dust is observed.",268
SOFIA-EXES Observations of Betelgeuse during the Great Dimming of 2019/2020,1,"SOFIA-EXES Observations of Betelgeuse During the Great Dimming of 2019/2020

Betelgeuse, a red supergiant star in the constellation Orion, exhibited a significant dimming event starting in late 2019 to early 2020. This phenomenon captured the attention of both amateur and professional astronomers alike, leading to numerous studies utilizing various observation techniques.

In this paper, we present the findings from the Stratospheric Observatory for Infrared Astronomy (SOFIA) - Echelon-Cross-Echelle Spectrograph (EXES) observations of Betelgeuse during the great dimming event. We utilized a high-resolution mid-infrared spectrometer that allowed us to study the star’s atmosphere in detail and monitor its evolution over time.

Our analysis indicates that the dimming event was caused by the formation of a large cloud of dust in Betelgeuse’s atmosphere, with the specific trigger mechanism still under investigation. The cloud reached its maximum size and opacity in February 2020 before dissipating in April of the same year. We also observed variations in temperature and apparent size of the star, which may be related to the dimming event.

These SOFIA-EXES observations provide valuable insight into the mechanisms driving Betelgeuse’s complex atmosphere and offer a detailed look into its behavior during the great dimming event. Our findings contribute to the ongoing effort to understand the life cycle of massive stars and their role in the evolution of our universe.",227
Forward Modelling of Standing Kink Modes in Coronal Loops I. Synthetic Views,0,"Kink magnetohydrodynamic (MHD) waves are frequently observed in various magnetic structures of the solar atmosphere. They may contribute significantly to coronal heating and could be used as a tool to diagnose the solar plasma. In this study, we synthesise the \ion{Fe}{9} $\lambda171.073$ emission of a coronal loop supporting a standing kink MHD mode. The kink MHD wave solution of a plasma cylinder is mapped into a semi-torus structure to simulate a curved coronal loop. We decompose the solution into a quasi-rigid kink motion and a quadrupole term, which dominate the plasma inside and outside the flux tube, respectively. At the loop edges, the line-of-sight integrates relatively more ambient plasma, and the background emission becomes significant. The plasma motion associated with the quadrupole term causes spectral line broadening and emission suppression. The periodic intensity suppression will modulate the integrated intensity and the effective loop width, which both exhibit oscillatory variations at half of the kink period. The quadrupole term can be directly observed as a pendular motion at front view.",176
Forward Modelling of Standing Kink Modes in Coronal Loops I. Synthetic Views,1,"This paper presents an investigation of standing kink modes in coronal loops using forward modelling techniques. The study is focused on generating synthetic views of these modes by using numerical simulations that take into account the plasma's physical properties, including density, temperature, and magnetic field strength. A detailed analysis of the generated synthetic views is performed, revealing the spatial and temporal behavior of the standing kink modes in coronal loops. The results show the importance of considering the plasma's properties when modeling these modes, as well as the potential of using synthetic views to interpret observational data. Additionally, the study explores the influence of the energy distribution on the stability and evolution of these modes, shedding light on the physical mechanisms underlying their dynamics. Overall, the paper reveals new insights into the behavior of standing kink modes in coronal loops through the use of forward modelling techniques.",149
Prevailing dust-transport directions on comet 67P/Churyumov-Gerasimenko,0,"Dust transport and deposition behind larger boulders on the comet 67P/Churyumov-Gerasimenko (67P/C-G) have been observed by the Rosetta mission.

We present a mechanism for dust transport vectors based on a homogenous surface activity model incorporating in detail the topography of 67P/C-G. The combination of gravitation, gas drag, and Coriolis force leads to specific dust transfer pathways, which for higher dust velocities fuel the near nucleus coma.

By distributing dust sources homogeneously across the whole cometary surface, we derive a global dust-transport map of 67P/C-G. The transport vectors are in agreement with the reported wind-tail directions in the Philae descent area.",110
Prevailing dust-transport directions on comet 67P/Churyumov-Gerasimenko,1,"This study investigates the prevailing dust-transport directions on comet 67P/Churyumov-Gerasimenko. We analyzed images taken by the Rosetta spacecraft's OSIRIS camera during the comet's closest approach to the sun. We find that most of the dust transported from the comet's surface follows two general directions, which are correlated with the local topography. The first direction is related to the steep, bright cliffs in the Imhotep region. The second direction is associated with the flatter terrains in the Anhur and Atum regions. Our findings enhance our understanding of the dust dynamics on comets and provide insights into the evolution of comet surfaces.",106
